City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
357,Fortuna,US,2022-05-25 02:40:03,40.5982,-124.1573,59.92,73,0,13.8
358,Tukrah,LY,2022-05-25 02:40:04,32.5341,20.5791,71.74,31,0,5.88
359,Tchibanga,GA,2022-05-25 02:40:05,-2.85,11.0333,68.41,92,92,0.74
360,Ratzeburg,DE,2022-05-25 02:40:06,53.7,10.7667,51.42,83,40,2.3
361,Kantang,TH,2022-05-25 02:40:07,7.4054,99.5156,87.89,99,20,2.3
362,Kaspiysk,RU,2022-05-25 02:40:07,42.8816,47.6392,59.23,82,20,4.47
363,Kefamenanu,ID,2022-05-25 02:40:08,-9.4467,124.4781,83.52,62,79,6.4
364,Methoni,GR,2022-05-25 02:40:08,36.8197,21.7049,68.22,67,0,9.24
365,Sturgeon Falls,CA,2022-05-25 02:40:09,46.3646,-79.9326,53.1,70,100,4.74
366,Deputatskiy,RU,2022-05-25 02:40:10,69.3,139.9,33.46,89,100,4.27
367,Hasaki,JP,2022-05-25 02:40:10,35.7333,140.8333,82.29,68,48,12.84
368,Saldanha,ZA,2022-05-25 02:41:11,-33.0117,17.9442,59.05,92,41,0.74
369,Luderitz,NA,2022-05-25 02:41:12,-26.6481,15.1594,58.03,70,0,6.98
370,Nantucket,US,2022-05-25 02:41:12,41.2835,-70.0995,52.02,86,0,4.61
371,Sorong,ID,2022-05-25 02:41:13,-0.8833,131.25,76.28,93,100,14.54
372,Abapo,BO,2022-05-25 02:41:14,-18.8333,-63.4667,60.91,91,0,2.21
373,Chapais,CA,2022-05-25 02:41:15,49.7834,-74.8492,46.18,71,7,7.11
374,Bulgan,MN,2022-05-25 02:41:16,48.8125,103.5347,63.39,29,0,5.35
375,Barcelos,PT,2022-05-25 02:41:16,41.5388,-8.6151,53.92,92,100,5.1
376,Geraldton,AU,2022-05-25 02:37:40,-28.7667,114.6,68.41,73,53,12.66
377,Jiazi,CN,2022-05-25 02:41:17,22.8779,116.067,74.98,93,100,7.83
378,Redmond,US,2022-05-25 02:36:27,47.674,-122.1215,58.33,76,100,1.99
379,Ojinaga,MX,2022-05-25 02:41:18,29.5667,-104.4167,89.42,18,0,9.22
380,Piacabucu,BR,2022-05-25 02:41:19,-10.4056,-36.4344,75.4,88,61,10.07
381,Porbandar,IN,2022-05-25 02:41:19,21.6422,69.6093,83.66,70,61,10.89
382,Malanville,BJ,2022-05-25 02:41:20,11.8685,3.3899,83.77,53,37,10.02
383,Roswell,US,2022-05-25 02:41:21,34.0232,-84.3616,73.99,75,20,13.8
384,Strezhevoy,RU,2022-05-25 02:41:21,60.7333,77.5889,57.25,87,100,3.62
385,Port Lincoln,AU,2022-05-25 02:41:22,-34.7333,135.8667,64.98,69,46,17.47
386,Gamba,GA,2022-05-25 02:41:22,-2.65,10.0,72.93,87,97,7.29
387,Pala,TD,2022-05-25 02:41:23,9.3642,14.9046,77.38,59,69,4.54
388,Sao Geraldo Do Araguaia,BR,2022-05-25 02:41:24,-6.4006,-48.555,72.84,74,64,2.39
389,Msanga,TZ,2022-05-25 02:41:24,-6.05,36.0333,64.44,86,100,3.13
